	Activated CD8 T cell	Central memory CD8 T cell	Effector memeory CD8 T cell	Activated CD4 T cell	Central memory CD4 T cell	Effector memeory CD4 T cell	T follicular helper cell	Gamma delta T cell	Type 1 T helper cell	Type 17 T helper cell	Type 2 T helper cell	Regulatory T cell	Activated B cell	Immature  B cell	Memory B cell	Natural killer cell	CD56bright natural killer cell	CD56dim natural killer cell	Myeloid derived suppressor cell	Natural killer T cell	Activated dendritic cell	Plasmacytoid dendritic cell	Immature dendritic cell	Macrophage	Eosinophil	Mast cell	Monocyte	Neutrophil
TCGA-55-6978-01	0.326137773832654	0.283465563871142	0.265600619058172	0.137685943425721	0.456978305496972	0.00586285851203089	0.119759706947315	0.337499476521006	0.13804176817254	-0.0363069433394592	0.102228321726385	0.14432972150301	-0.28827559435399	-0.376434973221302	0.0394563405221585	0.191881675734016	0.142088682715103	0.0799452280988016	0.438815018224415	0.113092864307316	0.409882699781077	0.347293341200697	0.261791743582762	0.12338722808927	-0.273741631029817	0.0957248319416557	0.386252480143354	0.0164406301981812
TCGA-55-6979-01	0.298506021628359	0.311124628656511	0.197290739169153	0.154038391609991	0.496997107229844	-0.0247747131826173	0.150010567027327	0.337123082650168	0.100494133346456	-0.07430891292925	0.0483585235432628	0.137184694308213	-0.261948873896684	-0.360451833842755	-0.134516173519832	0.174544504152072	0.10537747044104	0.0528686509902813	0.434355350236055	0.125179352852528	0.428144989569976	0.390494441138146	0.318407623186966	0.0849016659457413	-0.27445027786102	0.0740001928275747	0.440594617084233	-0.0739841352485226
TCGA-55-6981-01	0.208319170805064	0.192226638216758	0.161095558662638	0.00847949709160394	0.484560451532115	-0.0160590983453811	0.100949777247581	0.346997782731348	0.0568554084052463	-0.00158203646328118	0.0276456557804252	0.105773195030463	-0.324919191369872	-0.373154657949223	-0.123574091215622	0.191550116824064	0.101901854778941	-0.019000456577754	0.338146274689848	0.0999297487382092	0.431569789427935	0.369963258971928	0.296611807741965	0.0641396784477463	-0.343661790025517	0.0062634635375638	0.358064287828112	-0.0550098710269593
TCGA-55-6982-01	0.266107551926506	0.217542995616887	0.215923224168185	0.0524316746869879	0.490044754112744	0.0423713215564836	0.0733055492134166	0.334997387720416	0.0904645026251056	0.0270256318942223	0.100342407824492	0.115475083423748	-0.284344762232177	-0.378474915560311	-0.0578494017031719	0.194128821817444	0.138798976636904	0.0293764400450403	0.438041439650285	0.137869677949617	0.436707803474603	0.34406336014442	0.314391182886459	0.0838522467367304	-0.320372556313099	0.0147407270334568	0.376178756804234	0.0232210025487786
TCGA-55-7573-01	0.246569003625738	0.260811189448723	0.182388213200185	0.0146244189662191	0.496036818063175	-0.0477810140861095	0.109199480604759	0.283864874053863	0.0762983545135525	0.00159056785038763	0.0305546972412441	0.0764033699714607	-0.272984794572525	-0.286476947267674	-0.110066321694399	0.198873424839446	0.102628026985302	0.083252510556201	0.321259390929456	0.0806089630098988	0.453278631760366	0.379575988267079	0.296653113699556	0.149987848964339	-0.301396143479717	0.0890992221691617	0.387386616331364	-0.070047331661231
TCGA-55-7574-01	0.265129167781876	0.313219573867456	0.192157618423544	0.0624915333081643	0.49872676820797	-0.033149642725185	0.117892385849607	0.304723726997889	0.0902301509404494	-0.0208665685132623	0.0473987722762085	0.124105994040088	-0.258968361201791	-0.287553508707008	-0.134535906602111	0.189691558726821	0.0845350672609688	0.061129787432644	0.34529911914194	0.114403747005004	0.43491945170467	0.394497940337307	0.291048630370688	0.126716845989319	-0.300636563566997	0.0973519848959189	0.40264783776361	-0.114741618813967
TCGA-55-7728-01	0.347407660500174	0.285341564135069	0.104859252458759	-0.0111482104262842	0.432523900924892	-0.135792398319471	0.0993048308254429	0.301937791724846	0.0562310352552773	0.0467969347867965	0.0342775915994515	-0.0170818036960582	-0.252697218493979	-0.349900302373688	-0.148384276556832	0.144947165946885	0.078409867778614	0.261994763586296	0.330514239827502	0.0723544825539823	0.439870444149849	0.321102572854049	0.264811247770969	0.159499764054343	-0.245288083826941	-0.072414878588863	0.447853105040458	-0.0870048643165194
TCGA-55-7815-01	0.273536380557077	0.199810855851726	0.237610321010594	0.135219560637391	0.419011480552672	-0.0556816167520964	0.0522032837642817	0.320919044608102	0.0700273914824728	-0.0831381115249478	0.0688336120218336	0.137515564772557	-0.244314168081057	-0.337369294828362	-0.105396565628825	0.18135775905901	0.0386029973030119	0.055585113794596	0.299591139181165	0.0715354785028146	0.455583228302602	0.350265413707183	0.295499001015271	0.120076665351091	-0.321123101290547	0.0790903941817829	0.343125406082321	-0.100302634356494
TCGA-55-7910-01	0.22848693203174	0.210833960691981	0.0198384359742073	0.0536279299967989	0.393850934197599	-0.04756733602643	0.0393378443717886	0.334258376663761	-0.0260955474428337	-0.142178604539212	0.057857384468885	0.0228629088190964	-0.349562690719762	-0.399657625132611	-0.0575966588908116	0.128434350155635	0.0843600637182683	0.0766759024978274	0.271605156695578	0.0465430360541317	0.44809406434807	0.373987218131066	0.258587214611588	0.00342642156841647	-0.370511469247889	-0.00233768425133116	0.365634117100125	-0.135425769041116
TCGA-55-7911-01	0.278348253953115	0.268736337414247	0.112699643129121	0.15383206903948	0.47159380499819	-0.00740812779601223	0.10184379147415	0.323906356557342	0.0635112937873095	-0.09472119023458	0.0246623492077334	0.0486500792476453	-0.269144230539135	-0.430881085105452	-0.110884354413195	0.129270913725626	0.104884876416313	-0.0207730950694497	0.369074500408101	0.0922133540989762	0.379019390155869	0.369868252200238	0.333196217824923	0.0990273715096773	-0.339501696425118	0.0211529889601167	0.437356979527818	-0.0272432982206023
